row ID,row m/z,row retention time,10102016-04201.CDF Peak height,10102016-06001.CDF Peak height,10102016-02401.CDF Peak height,10102016-07601.CDF Peak height,10102016-00501.CDF Peak height,
140,787.6697235107422,5.128716707229614,240.549072265625,278.781982421875,258.905029296875,316.869140625,0,
87,145.9566207885742,5.06690673828125,353.3759765625,392.20654296875,353.267333984375,383.857177734375,492.40625,
126,801.6867980957031,5.488912582397461,266.13916015625,263.9951171875,321.588623046875,272.886474609375,0,
130,835.6689376831055,4.992416739463806,256.969970703125,262.010498046875,247.388427734375,235.2169189453125,0,
97,139.9895534515381,5.025616765022278,336.082275390625,375.37060546875,331.058349609375,0,437.238037109375,
777,139.9894790649414,5.069104194641113,0,366.351318359375,311.2265625,360.91015625,450.185302734375,
82,145.9566192626953,5.177238941192627,361.586181640625,362.531494140625,348.985595703125,0,0,
220,408.3672790527344,4.856616687774658,144.164794921875,157.8294677734375,159.9908447265625,156.8057861328125,552.42626953125,
98,140.9971923828125,5.233120059967041,375.1259765625,389.282470703125,413.88671875,378.0498046875,588.38623046875,
1046,815.7011108398438,5.952625036239624,0,0,374.88330078125,289.7890625,0,
56,787.6697235107422,5.037566661834717,484.41015625,521.52197265625,676.5830078125,547.57373046875,0,
94,139.98954391479492,4.9898083209991455,339.019287109375,0,0,362.7412109375,0,
169,422.38158264160154,4.806800079345703,213.459716796875,227.4617919921875,223.319580078125,185.4462890625,349.068115234375,
173,701.494970703125,3.6051066398620604,198.812744140625,220.8642578125,225.7960205078125,191.00341796875,454.544189453125,
115,801.6867980957031,5.464541673660278,291.703369140625,221.0552978515625,350.981201171875,261.54248046875,0,
771,835.6688842773438,4.910450140635173,0,437.44970703125,209.9228515625,270.1953125,0,
117,124.08800888061523,6.479116678237915,282.087158203125,258.283935546875,0,0,0,
95,139.98956044514975,4.887527783711751,338.04541015625,0,318.810546875,330.412353515625,0,
537,424.36480712890625,4.769216632843017,55.362701416015625,126.96112060546875,177.4085693359375,149.755615234375,468.564697265625,
168,746.5671264648438,4.806080055236817,214.9219970703125,194.746826171875,245.419677734375,197.819091796875,611.9384765625,
813,716.5527496337891,4.844599962234497,0,150.3062744140625,0,0,550.482421875,
78,145.95660400390625,4.933091878890991,367.826171875,353.5556640625,0,0,0,
1285,391.3379364013672,4.955416679382324,0,0,0,126.10443115234375,458.013427734375,
145,813.6877975463867,5.224004149436951,237.4505615234375,255.2449951171875,205.568115234375,312.30859375,0,
171,835.6689376831055,4.920599937438965,199.277099609375,386.67236328125,312.0400390625,225.02783203125,0,
155,186.98326301574707,5.265304088592529,225.266845703125,215.0794677734375,264.857421875,0,424.974853515625,
122,815.7014007568359,6.050000071525574,274.37255859375,294.282958984375,278.849853515625,292.5224609375,0,
774,140.99714152018228,5.212355613708496,0,379.76708984375,377.1650390625,378.0498046875,0,
52,787.6697692871094,4.899041652679443,509.070556640625,0,0,489.986328125,0,
128,813.687510172526,5.177238941192627,259.17431640625,356.6455078125,300.509765625,0,0,
161,814.6918487548828,5.145366668701172,221.7601318359375,199.7279052734375,0,0,0,
1054,142.99267578125,4.967988808949788,0,0,191.8408203125,186.5872802734375,258.320068359375,
127,481.8181915283203,6.425788879394531,264.828125,0,0,270.279541015625,478.46728515625,
156,186.98327255249023,5.107183456420898,224.4713134765625,0,0,224.6617431640625,0,
167,186.98322296142578,4.904308319091797,215.376708984375,234.8101806640625,0,213.9188232421875,463.039306640625,
788,788.6725616455078,5.0654168128967285,0,254.1583251953125,293.907470703125,0,0,
112,815.7014007568359,6.003075003623962,306.909423828125,285.513427734375,415.791748046875,308.3974609375,0,
215,394.3539764404297,4.808966636657715,149.57470703125,134.154541015625,143.33984375,148.203369140625,360.5263671875,
113,139.98950386047363,5.433858394622803,303.82080078125,330.763916015625,310.6298828125,320.29248046875,0,
223,688.5229248046875,4.7641599655151365,139.8038330078125,189.8427734375,202.3310546875,198.8563232421875,507.78515625,
233,436.3954650878906,4.854453372955322,125.910888671875,166.4129638671875,147.0037841796875,133.315673828125,352.41748046875,
120,813.6877975463867,5.189708352088928,277.881591796875,290.42431640625,267.869873046875,315.1923828125,0,
124,186.98323822021484,4.955941677093506,268.765625,219.9510498046875,0,0,0,
79,788.6727600097656,4.927058458328247,366.372314453125,185.455810546875,0,0,0,
782,139.98950703938803,5.1050333976745605,0,346.239990234375,342.910888671875,0,459.367919921875,
77,140.99720573425293,5.298908352851868,368.05419921875,401.86669921875,392.237060546875,370.159423828125,0,
190,391.3404235839844,4.858780002593994,179.5631103515625,173.6990966796875,189.025146484375,196.6007080078125,442.22607421875,
193,424.3645985921224,4.743027687072754,178.29931640625,145.8358154296875,0,0,267.76025390625,
165,815.7014007568359,6.070754051208496,217.3802490234375,263.14404296875,283.755615234375,242.2489013671875,0,
162,186.98337936401367,5.536058187484741,220.3426513671875,0,0,0,414.619873046875,
792,186.98314921061197,5.20383882522583,0,232.3594970703125,0,209.215087890625,431.52685546875,
102,139.98954010009766,4.961905479431152,331.07763671875,375.495361328125,339.30224609375,0,0,
793,186.9830665588379,5.3135666847229,0,213.055419921875,0,202.54150390625,0,
151,99.97053050994873,4.9913249015808105,229.6043701171875,209.8809814453125,201.91064453125,0,251.3563232421875,
180,99.97047805786133,5.059183239936829,194.7078857421875,204.777099609375,0,196.806640625,262.2099609375,
105,815.7014007568359,5.9841166734695435,316.44140625,279.203857421875,339.381591796875,288.484375,0,
132,815.7014007568359,5.966066837310791,254.524658203125,257.259765625,308.370361328125,328.232421875,0,
1053,481.8180236816406,6.277341604232788,0,0,261.8408203125,254.7630615234375,0,
153,186.98322296142578,4.973399996757507,226.7470703125,223.8765869140625,0,228.450927734375,489.1689453125,
149,186.98337936401367,4.891433238983154,230.2745361328125,0,0,0,449.22314453125,
158,815.7001953125,4.911674976348877,223.392333984375,0,0,455.6962890625,0,
210,466.4104919433594,4.808246612548828,151.9615478515625,142.810791015625,133.978759765625,140.1002197265625,264.38916015625,
785,815.7009480794271,6.024188995361328,0,338.749755859375,328.885986328125,307.841552734375,0,
118,453.3503753662109,3.6673533439636232,280.553955078125,302.33935546875,312.08642578125,273.630126953125,522.54541015625,
229,760.5850341796875,4.845066738128662,129.6951904296875,136.366455078125,120.44482421875,125.59246826171875,354.386474609375,
790,788.6725616455078,5.0961081981658936,0,232.82080078125,211.1409912109375,0,0,
70,813.6877975463867,5.16534161567688,381.677001953125,334.352783203125,329.498291015625,381.031005859375,0,
228,443.3342742919922,4.80679988861084,132.3072509765625,136.90576171875,148.4132080078125,151.204833984375,290.9912109375,
119,367.2156646728516,3.607276678085327,279.92822265625,287.3359375,222.4241943359375,295.136474609375,56.1231689453125,
203,790.6054260253907,4.806800079345703,161.1527099609375,152.06884765625,170.662109375,136.8360595703125,339.189208984375,
815,788.6733093261719,5.160141706466675,0,139.8736572265625,0,123.54986572265625,0,
1052,481.81804911295575,6.318688869476318,0,0,305.39990234375,246.6484375,476.3564453125,
64,788.6727600097656,4.9878082275390625,419.380859375,354.69580078125,0,0,0,
185,99.97049713134766,5.098158359527588,185.2003173828125,0,0,230.550048828125,0,
187,141.96229553222656,5.105133295059204,184.05615234375,177.3651123046875,0,0,0,
272,457.35040893554685,4.853730010986328,99.3858642578125,109.165771484375,109.96527099609375,104.33831787109375,293.8515625,
319,99.97053050994873,5.003058314323425,229.6043701171875,209.8809814453125,180.4801025390625,0,269.1494140625,
172,387.1806701660156,4.2641599655151365,199.1278076171875,237.9656982421875,252.516845703125,297.320068359375,432.86767578125,
1277,142.99267578125,5.384191513061523,0,0,0,156.8240966796875,249.0350341796875,
1363,554.4629821777344,4.922450065612793,0,0,0,42.679534912109375,171.1964111328125,
202,815.7014007568359,6.11721658706665,162.6268310546875,215.3006591796875,190.6483154296875,203.229736328125,0,
160,186.98320960998535,5.4997416734695435,221.9595947265625,221.1968994140625,237.4287109375,210.3074951171875,0,
234,799.6730041503906,4.774350047111511,125.01763916015625,137.40771484375,135.38671875,148.5562744140625,0,
247,195.1242919921875,4.804633235931396,116.86932373046875,115.06268310546875,118.2919921875,122.90576171875,213.055419921875,
176,787.6697235107422,5.166245698928833,197.270263671875,202.928955078125,179.9774169921875,230.7852783203125,0,
1268,99.97046279907227,5.349908351898193,0,0,0,230.550048828125,236.2510986328125,
252,664.4600677490234,5.8904500007629395,108.15447998046875,0,83.2489013671875,0,0,
285,99.97045993804932,5.190612435340881,202.754638671875,219.7801513671875,167.2291259765625,218.9437255859375,0,
189,801.6867980957031,5.584200024604797,180.343994140625,200.6826171875,223.778076171875,205.4005126953125,0,
123,448.29107055664065,4.688273334503174,269.792236328125,245.8165283203125,308.943359375,306.88134765625,449.133056640625,
377,815.7014007568359,5.909495711326599,77.3148193359375,87.72283935546875,354.4501953125,203.95849609375,0,
1319,760.582763671875,4.868299961090088,0,0,0,55.50640869140625,330.827392578125,
363,99.97053050994873,4.942329287528992,198.4898681640625,213.2777099609375,190.1429443359375,0,230.8802490234375,
178,801.6867980957031,5.531829237937927,195.065673828125,213.6844482421875,327.18798828125,254.2242431640625,0,
177,815.7005004882812,4.954825043678284,195.9095458984375,202.345703125,182.52734375,166.7830810546875,0,
1330,369.29976654052734,4.861083269119263,0,0,0,51.986663818359375,237.7745361328125,
256,195.1242919921875,4.846506786346436,105.630126953125,113.4915771484375,110.75701904296875,113.98626708984375,226.916748046875,
142,801.6867980957031,5.448295831680298,239.385009765625,232.441650390625,371.787109375,260.689697265625,0,
250,732.5534057617188,4.7641599655151365,112.51141357421875,117.215576171875,166.0543212890625,132.447265625,345.25732421875,
116,475.3260833740234,3.5177299976348877,287.30029296875,248.2174072265625,249.0350341796875,167.2291259765625,351.170654296875,
758,399.30787658691406,4.815624952316284,40.19512939453125,0,0,0,178.873046875,
200,395.2237274169922,4.878296661376953,164.70068359375,206.7711181640625,157.3443603515625,178.2364501953125,515.8427734375,
138,124.0879898071289,6.334305604298909,242.815673828125,0,0,240.87451171875,230.46484375,
198,141.96217346191406,5.027111212412517,165.2958984375,189.050537109375,0,164.58251953125,0,
170,99.97045993804932,5.1698291301727295,202.754638671875,219.7801513671875,207.2523193359375,206.1767578125,0,
1058,141.9696807861328,5.498055617014567,0,0,158.071044921875,168.27001953125,230.355712890625,
804,142.99267196655273,4.878891706466675,0,170.7381591796875,0,0,245.2230224609375,
1281,449.79224395751953,6.372333526611328,0,0,0,139.894775390625,211.453369140625,
207,815.7004597981771,4.8466165860493975,155.5308837890625,0,506.3291015625,192.7705078125,0,
814,449.7921142578125,6.475541830062866,0,145.0198974609375,141.874267578125,0,0,
